IDs,Video,Resolution
NDARAA075AMK,/Volumes/methlab_data/HBN/EEG-ET/NDARAA075AMK/NDARAA075AMK_Video1_Samples_ET.mat,800600
NDARAA075AMK,/Volumes/methlab_data/HBN/EEG-ET/NDARAA075AMK/NDARAA075AMK_Video3_Samples_ET.mat,800600
NDARAA117NEJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAA117NEJ/NDARAA117NEJ_Video1_Samples_ET.mat,800600
NDARAA117NEJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAA117NEJ/NDARAA117NEJ_Video3_Samples_ET.mat,800600
NDARAA306NT2,/Volumes/methlab_data/HBN/EEG-ET/NDARAA306NT2/NDARAA306NT2_Video-DM_Samples_ET.mat,1440900
NDARAA306NT2,/Volumes/methlab_data/HBN/EEG-ET/NDARAA306NT2/NDARAA306NT2_Video-TP_Samples_ET.mat,1440900
NDARAA306NT2,/Volumes/methlab_data/HBN/EEG-ET/NDARAA306NT2/NDARAA306NT2_Video-WK_Samples_ET.mat,1440900
NDARAA504CRN,/Volumes/methlab_data/HBN/EEG-ET/NDARAA504CRN/NDARAA504CRN_Video-DM_Samples_ET.mat,1440900
NDARAA504CRN,/Volumes/methlab_data/HBN/EEG-ET/NDARAA504CRN/NDARAA504CRN_Video-TP_Samples_ET.mat,1440900
NDARAA948VFH,/Volumes/methlab_data/HBN/EEG-ET/NDARAA948VFH/NDARAA948VFH_Video1_Samples_ET.mat,800600
NDARAA948VFH,/Volumes/methlab_data/HBN/EEG-ET/NDARAA948VFH/NDARAA948VFH_Video3_Samples_ET.mat,800600
NDARAB055BPR,/Volumes/methlab_data/HBN/EEG-ET/NDARAB055BPR/NDARAB055BPR_Video1_Samples_ET.mat,800600
NDARAB055BPR,/Volumes/methlab_data/HBN/EEG-ET/NDARAB055BPR/NDARAB055BPR_Video2_Samples_ET.mat,800600
NDARAB055BPR,/Volumes/methlab_data/HBN/EEG-ET/NDARAB055BPR/NDARAB055BPR_Video3_Samples_ET.mat,800600
NDARAB055BPR,/Volumes/methlab_data/HBN/EEG-ET/NDARAB055BPR/NDARAB055BPR_Video4_Samples_ET.mat,800600
NDARAB348EWR,/Volumes/methlab_data/HBN/EEG-ET/NDARAB348EWR/NDARAB348EWR_Video1_Samples_ET.mat,800600
NDARAB348EWR,/Volumes/methlab_data/HBN/EEG-ET/NDARAB348EWR/NDARAB348EWR_Video2_Samples_ET.mat,800600
NDARAB348EWR,/Volumes/methlab_data/HBN/EEG-ET/NDARAB348EWR/NDARAB348EWR_Video3_Samples_ET.mat,800600
NDARAB348EWR,/Volumes/methlab_data/HBN/EEG-ET/NDARAB348EWR/NDARAB348EWR_Video4_Samples_ET.mat,800600
NDARAB514MAJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAB514MAJ/NDARAB514MAJ_Video-DM_Samples_ET.mat,1440900
NDARAB514MAJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAB514MAJ/NDARAB514MAJ_Video-TP_Samples_ET.mat,1440900
NDARAB514MAJ,/Volumes/methlab_data/HBN/EEG-ET/NDARAB514MAJ/NDARAB514MAJ_Video-WK_Samples_ET.mat,1440900
