time,frame,num_faces,faces
375.0,10.0,0,"[]"
792.0,20.0,0,"[]"
1210.0,30.0,0,"[]"
1627.0,40.0,0,"[]"
2044.0,50.0,0,"[]"
2461.0,60.0,0,"[]"
2878.0,70.0,0,"[]"
3295.0,80.0,0,"[]"
3712.0,90.0,0,"[]"
4129.0,100.0,0,"[]"
4546.0,110.0,0,"[]"
4963.0,120.0,0,"[]"
5380.0,130.0,0,"[]"
5797.0,140.0,0,"[]"
6215.0,150.0,0,"[]"
6632.0,160.0,0,"[]"
7049.0,170.0,0,"[]"
7466.0,180.0,0,"[]"
7883.0,190.0,0,"[]"
8300.0,200.0,0,"[]"
8717.0,210.0,1,"[{'box': [160, 161, 48, 60], 'confidence': 0.9916709661483765, 'keypoints': {'left_eye': (166, 182), 'right_eye': (187, 182), 'nose': (168, 192), 'mouth_left': (165, 206), 'mouth_right': (182, 207)}}]"
9134.0,220.0,1,"[{'box': [191, 154, 48, 62], 'confidence': 0.9949821829795837, 'keypoints': {'left_eye': (214, 175), 'right_eye': (234, 178), 'nose': (230, 186), 'mouth_left': (214, 199), 'mouth_right': (231, 202)}}]"
9551.0,230.0,1,"[{'box': [191, 158, 49, 66], 'confidence': 0.9871790409088135, 'keypoints': {'left_eye': (217, 182), 'right_eye': (237, 187), 'nose': (232, 198), 'mouth_left': (213, 207), 'mouth_right': (229, 212)}}]"
9968.0,240.0,0,"[]"
10385.0,250.0,1,"[{'box': [386, 82, 54, 81], 'confidence': 0.9689948558807373, 'keypoints': {'left_eye': (416, 113), 'right_eye': (432, 110), 'nose': (434, 127), 'mouth_left': (420, 144), 'mouth_right': (432, 142)}}]"
10802.0,260.0,1,"[{'box': [381, 83, 54, 77], 'confidence': 0.9873782992362976, 'keypoints': {'left_eye': (412, 113), 'right_eye': (428, 111), 'nose': (430, 127), 'mouth_left': (414, 142), 'mouth_right': (427, 142)}}]"
11220.0,270.0,0,"[]"
11637.0,280.0,0,"[]"
12054.0,290.0,0,"[]"
12471.0,300.0,1,"[{'box': [234, 54, 111, 149], 'confidence': 0.9996659755706787, 'keypoints': {'left_eye': (274, 114), 'right_eye': (326, 112), 'nose': (307, 142), 'mouth_left': (277, 169), 'mouth_right': (326, 167)}}]"
12888.0,310.0,1,"[{'box': [229, 60, 114, 141], 'confidence': 0.9998571872711182, 'keypoints': {'left_eye': (270, 108), 'right_eye': (323, 104), 'nose': (304, 133), 'mouth_left': (275, 165), 'mouth_right': (320, 163)}}]"
13305.0,320.0,1,"[{'box': [222, 50, 115, 147], 'confidence': 0.9990068078041077, 'keypoints': {'left_eye': (262, 108), 'right_eye': (315, 105), 'nose': (296, 134), 'mouth_left': (268, 163), 'mouth_right': (316, 161)}}]"
13722.0,330.0,1,"[{'box': [372, 139, 24, 32], 'confidence': 0.747814416885376, 'keypoints': {'left_eye': (381, 151), 'right_eye': (393, 150), 'nose': (389, 158), 'mouth_left': (382, 165), 'mouth_right': (391, 164)}}]"
14139.0,340.0,2,"[{'box': [229, 160, 62, 78], 'confidence': 0.9885828495025635, 'keypoints': {'left_eye': (250, 191), 'right_eye': (280, 193), 'nose': (266, 211), 'mouth_left': (250, 222), 'mouth_right': (275, 224)}}, {'box': [371, 144, 27, 32], 'confidence': 0.9774779081344604, 'keypoints': {'left_eye': (380, 155), 'right_eye': (392, 156), 'nose': (386, 162), 'mouth_left': (380, 168), 'mouth_right': (390, 169)}}]"
14556.0,350.0,1,"[{'box': [305, 147, 93, 113], 'confidence': 0.9949942231178284, 'keypoints': {'left_eye': (341, 188), 'right_eye': (386, 190), 'nose': (368, 214), 'mouth_left': (342, 235), 'mouth_right': (379, 237)}}]"
14973.0,360.0,1,"[{'box': [289, 83, 104, 132], 'confidence': 0.9993656277656555, 'keypoints': {'left_eye': (316, 130), 'right_eye': (365, 133), 'nose': (334, 156), 'mouth_left': (316, 185), 'mouth_right': (354, 189)}}]"
15390.0,370.0,1,"[{'box': [228, 41, 79, 103], 'confidence': 0.998197615146637, 'keypoints': {'left_eye': (254, 78), 'right_eye': (291, 79), 'nose': (277, 94), 'mouth_left': (259, 119), 'mouth_right': (291, 120)}}]"
15807.0,380.0,1,"[{'box': [240, 42, 78, 103], 'confidence': 0.9983975291252136, 'keypoints': {'left_eye': (264, 80), 'right_eye': (302, 80), 'nose': (287, 95), 'mouth_left': (268, 120), 'mouth_right': (302, 120)}}]"
16225.0,390.0,1,"[{'box': [242, 43, 83, 108], 'confidence': 0.9994589686393738, 'keypoints': {'left_eye': (269, 83), 'right_eye': (307, 82), 'nose': (291, 96), 'mouth_left': (274, 124), 'mouth_right': (306, 124)}}]"
16642.0,400.0,1,"[{'box': [232, 49, 82, 109], 'confidence': 0.9985268115997314, 'keypoints': {'left_eye': (259, 88), 'right_eye': (297, 88), 'nose': (284, 105), 'mouth_left': (267, 134), 'mouth_right': (297, 133)}}]"
17059.0,410.0,3,"[{'box': [383, 49, 80, 103], 'confidence': 0.9997908473014832, 'keypoints': {'left_eye': (409, 91), 'right_eye': (444, 90), 'nose': (428, 108), 'mouth_left': (409, 126), 'mouth_right': (446, 125)}}, {'box': [261, 86, 23, 28], 'confidence': 0.9544042348861694, 'keypoints': {'left_eye': (267, 99), 'right_eye': (277, 95), 'nose': (273, 103), 'mouth_left': (271, 110), 'mouth_right': (280, 107)}}, {'box': [90, 100, 22, 27], 'confidence': 0.9381078481674194, 'keypoints': {'left_eye': (95, 110), 'right_eye': (107, 108), 'nose': (101, 115), 'mouth_left': (97, 121), 'mouth_right': (107, 120)}}]"
17476.0,420.0,4,"[{'box': [375, 74, 79, 98], 'confidence': 0.9998108744621277, 'keypoints': {'left_eye': (403, 117), 'right_eye': (437, 114), 'nose': (425, 137), 'mouth_left': (402, 148), 'mouth_right': (438, 146)}}, {'box': [92, 99, 22, 28], 'confidence': 0.9940105080604553, 'keypoints': {'left_eye': (98, 109), 'right_eye': (109, 108), 'nose': (103, 114), 'mouth_left': (99, 120), 'mouth_right': (108, 120)}}, {'box': [263, 84, 22, 29], 'confidence': 0.894453227519989, 'keypoints': {'left_eye': (270, 97), 'right_eye': (280, 95), 'nose': (276, 101), 'mouth_left': (272, 107), 'mouth_right': (282, 105)}}, {'box': [199, 51, 18, 24], 'confidence': 0.8599048256874084, 'keypoints': {'left_eye': (204, 59), 'right_eye': (213, 58), 'nose': (209, 63), 'mouth_left': (205, 69), 'mouth_right': (213, 68)}}]"
17893.0,430.0,6,"[{'box': [110, 109, 23, 30], 'confidence': 0.9992073178291321, 'keypoints': {'left_eye': (116, 120), 'right_eye': (128, 120), 'nose': (121, 126), 'mouth_left': (116, 132), 'mouth_right': (127, 133)}}, {'box': [333, 67, 22, 28], 'confidence': 0.999148964881897, 'keypoints': {'left_eye': (342, 77), 'right_eye': (352, 77), 'nose': (349, 83), 'mouth_left': (343, 88), 'mouth_right': (351, 88)}}, {'box': [174, 93, 21, 28], 'confidence': 0.9989444613456726, 'keypoints': {'left_eye': (181, 103), 'right_eye': (191, 104), 'nose': (185, 109), 'mouth_left': (181, 114), 'mouth_right': (190, 115)}}, {'box': [467, 25, 24, 32], 'confidence': 0.9833000898361206, 'keypoints': {'left_eye': (473, 37), 'right_eye': (484, 36), 'nose': (478, 43), 'mouth_left': (474, 50), 'mouth_right': (484, 49)}}, {'box': [15, 95, 18, 23], 'confidence': 0.9747134447097778, 'keypoints': {'left_eye': (18, 104), 'right_eye': (27, 103), 'nose': (21, 108), 'mouth_left': (19, 112), 'mouth_right': (27, 112)}}, {'box': [408, 79, 58, 73], 'confidence': 0.8932029008865356, 'keypoints': {'left_eye': (423, 102), 'right_eye': (450, 106), 'nose': (430, 116), 'mouth_left': (420, 132), 'mouth_right': (442, 136)}}]"
18310.0,440.0,1,"[{'box': [233, 88, 111, 143], 'confidence': 0.9906909465789795, 'keypoints': {'left_eye': (258, 139), 'right_eye': (310, 144), 'nose': (275, 171), 'mouth_left': (257, 199), 'mouth_right': (300, 204)}}]"
18727.0,450.0,1,"[{'box': [234, 96, 114, 142], 'confidence': 0.9974193572998047, 'keypoints': {'left_eye': (264, 146), 'right_eye': (317, 150), 'nose': (284, 179), 'mouth_left': (264, 205), 'mouth_right': (307, 209)}}]"
19144.0,460.0,1,"[{'box': [553, 108, 38, 42], 'confidence': 0.7739704251289368, 'keypoints': {'left_eye': (567, 125), 'right_eye': (579, 124), 'nose': (571, 126), 'mouth_left': (566, 137), 'mouth_right': (576, 137)}}]"
19561.0,470.0,0,"[]"
19978.0,480.0,0,"[]"
20395.0,490.0,0,"[]"
20812.0,500.0,0,"[]"
21230.0,510.0,0,"[]"
21647.0,520.0,0,"[]"
22064.0,530.0,2,"[{'box': [24, 92, 25, 32], 'confidence': 0.9973415732383728, 'keypoints': {'left_eye': (38, 105), 'right_eye': (47, 104), 'nose': (47, 110), 'mouth_left': (39, 118), 'mouth_right': (47, 117)}}, {'box': [602, 61, 26, 31], 'confidence': 0.7601275444030762, 'keypoints': {'left_eye': (607, 71), 'right_eye': (620, 68), 'nose': (614, 77), 'mouth_left': (610, 85), 'mouth_right': (621, 83)}}]"
22481.0,540.0,1,"[{'box': [125, 75, 26, 36], 'confidence': 0.9891728162765503, 'keypoints': {'left_eye': (137, 88), 'right_eye': (148, 88), 'nose': (146, 95), 'mouth_left': (138, 102), 'mouth_right': (147, 103)}}]"
22898.0,550.0,0,"[]"
23315.0,560.0,1,"[{'box': [313, 81, 85, 107], 'confidence': 0.9916689395904541, 'keypoints': {'left_eye': (328, 119), 'right_eye': (367, 117), 'nose': (337, 135), 'mouth_left': (329, 163), 'mouth_right': (361, 163)}}]"
23732.0,570.0,0,"[]"
24149.0,580.0,1,"[{'box': [296, 49, 95, 110], 'confidence': 0.9993372559547424, 'keypoints': {'left_eye': (322, 88), 'right_eye': (367, 86), 'nose': (344, 101), 'mouth_left': (329, 134), 'mouth_right': (364, 132)}}]"
24566.0,590.0,1,"[{'box': [450, 65, 52, 63], 'confidence': 0.9967756867408752, 'keypoints': {'left_eye': (461, 89), 'right_eye': (486, 88), 'nose': (469, 98), 'mouth_left': (461, 114), 'mouth_right': (481, 114)}}]"
24983.0,600.0,1,"[{'box': [457, 61, 54, 68], 'confidence': 0.9991901516914368, 'keypoints': {'left_eye': (471, 87), 'right_eye': (496, 88), 'nose': (479, 97), 'mouth_left': (469, 112), 'mouth_right': (489, 114)}}]"
25400.0,610.0,1,"[{'box': [457, 61, 56, 69], 'confidence': 0.9959015250205994, 'keypoints': {'left_eye': (471, 87), 'right_eye': (497, 87), 'nose': (481, 96), 'mouth_left': (472, 114), 'mouth_right': (492, 114)}}]"
25817.0,620.0,1,"[{'box': [452, 62, 58, 66], 'confidence': 0.9992052912712097, 'keypoints': {'left_eye': (466, 87), 'right_eye': (493, 84), 'nose': (478, 94), 'mouth_left': (469, 112), 'mouth_right': (492, 111)}}]"
26235.0,630.0,1,"[{'box': [452, 61, 57, 67], 'confidence': 0.996828019618988, 'keypoints': {'left_eye': (466, 85), 'right_eye': (492, 82), 'nose': (478, 92), 'mouth_left': (470, 112), 'mouth_right': (492, 109)}}]"
26652.0,640.0,2,"[{'box': [329, 88, 76, 96], 'confidence': 0.9958401918411255, 'keypoints': {'left_eye': (354, 126), 'right_eye': (390, 123), 'nose': (375, 143), 'mouth_left': (361, 166), 'mouth_right': (390, 164)}}, {'box': [455, 73, 29, 40], 'confidence': 0.9896211624145508, 'keypoints': {'left_eye': (461, 87), 'right_eye': (472, 88), 'nose': (461, 95), 'mouth_left': (458, 103), 'mouth_right': (467, 105)}}]"
27069.0,650.0,1,"[{'box': [426, 75, 31, 43], 'confidence': 0.8436199426651001, 'keypoints': {'left_eye': (432, 90), 'right_eye': (445, 91), 'nose': (434, 99), 'mouth_left': (430, 108), 'mouth_right': (440, 110)}}]"
27486.0,660.0,0,"[]"
27903.0,670.0,1,"[{'box': [294, 79, 78, 96], 'confidence': 0.9977219700813293, 'keypoints': {'left_eye': (314, 110), 'right_eye': (350, 119), 'nose': (323, 134), 'mouth_left': (308, 151), 'mouth_right': (336, 159)}}]"
28320.0,680.0,1,"[{'box': [346, 52, 82, 111], 'confidence': 0.997200608253479, 'keypoints': {'left_eye': (389, 95), 'right_eye': (422, 97), 'nose': (417, 118), 'mouth_left': (392, 141), 'mouth_right': (417, 143)}}]"
28737.0,690.0,2,"[{'box': [251, 124, 41, 52], 'confidence': 0.999046266078949, 'keypoints': {'left_eye': (268, 141), 'right_eye': (287, 144), 'nose': (281, 151), 'mouth_left': (269, 163), 'mouth_right': (283, 165)}}, {'box': [344, 121, 70, 91], 'confidence': 0.9923198819160461, 'keypoints': {'left_eye': (354, 154), 'right_eye': (384, 153), 'nose': (359, 171), 'mouth_left': (353, 193), 'mouth_right': (379, 193)}}]"
29154.0,700.0,0,"[]"
29571.0,710.0,2,"[{'box': [228, 115, 49, 64], 'confidence': 0.9994476437568665, 'keypoints': {'left_eye': (252, 138), 'right_eye': (273, 144), 'nose': (266, 151), 'mouth_left': (250, 164), 'mouth_right': (265, 169)}}, {'box': [68, 79, 54, 80], 'confidence': 0.9465050101280212, 'keypoints': {'left_eye': (102, 113), 'right_eye': (116, 109), 'nose': (122, 124), 'mouth_left': (108, 144), 'mouth_right': (119, 141)}}]"
