Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.042,0.00010850694444444444,0.0,0.0003255208333333333,0.0
2,00:00:00.083,0.00906032986111111,0.0,0.027180989583333332,0.0
3,00:00:00.125,0.18492296006944445,0.21864149305555555,0.014892578125,0.3212348090277778
4,00:00:00.167,0.5210051359953703,0.6689453125,0.030517578125,0.8635525173611112
5,00:00:00.208,0.001103153935185185,0.0,0.0033094618055555555,0.0
6,00:00:00.250,0.002296730324074074,0.0,0.006890190972222222,0.0
7,00:00:00.292,0.26466652199074076,0.2962239583333333,0.028076171875,0.4696994357638889
8,00:00:00.333,0.00022605613425925926,0.0,0.0006781684027777778,0.0
9,00:00:00.375,0.03974066840277778,0.048828125,0.010470920138888888,0.05992296006944445
10,00:00:00.417,0.09982638888888888,0.052897135416666664,0.021321614583333332,0.22526041666666666
11,00:00:00.458,0.016529224537037035,0.014105902777777778,0.009629991319444444,0.025851779513888888
12,00:00:00.500,0.07093641493055555,0.038248697916666664,0.025743272569444444,0.14881727430555555
13,00:00:00.542,0.27784107349537035,0.4370659722222222,0.022867838541666668,0.3735894097222222
14,00:00:00.583,0.11919487847222222,0.0634765625,0.04391818576388889,0.2501898871527778
15,00:00:00.625,0.12330005787037036,0.14173719618055555,0.029622395833333332,0.1985405815972222
16,00:00:00.667,0.1285988136574074,0.19371202256944445,0.016764322916666668,0.1753200954861111
17,00:00:00.708,0.014594184027777776,0.007052951388888889,0.007703993055555556,0.029025607638888888
18,00:00:00.750,0.15079752604166666,0.2292209201388889,0.022216796875,0.2009548611111111
19,00:00:00.792,0.13599537037037038,0.22257486979166666,0.021077473958333332,0.1643337673611111
20,00:00:00.833,0.046413845486111105,0.057047526041666664,0.010660807291666666,0.071533203125
21,00:00:00.875,0.0580150462962963,0.07758246527777778,0.021213107638888888,0.07524956597222222
22,00:00:00.917,0.06857638888888888,0.09087456597222222,0.014268663194444444,0.1005859375
23,00:00:00.958,0.044207537615740734,0.05154079861111111,0.014946831597222222,0.0661349826388889
24,00:00:01.000,0.03074363425925926,0.042317708333333336,0.015570746527777778,0.034342447916666664
25,00:00:01.042,0.0733959056712963,0.0673828125,0.0283203125,0.1244845920138889
26,00:00:01.083,0.006257233796296297,0.007052951388888889,0.0030924479166666665,0.008626302083333334
27,00:00:01.125,0.07293475115740741,0.046929253472222224,0.04380967881944445,0.12806532118055555
28,00:00:01.167,0.03371853298611111,0.04931640625,0.007052951388888889,0.04478624131944445
29,00:00:01.208,0.04146773726851852,0.03957790798611111,0.027180989583333332,0.05764431423611111
30,00:00:01.250,0.09253833912037036,0.1455349392361111,0.025119357638888888,0.1069607204861111
31,00:00:01.292,0.12779405381944445,0.15193684895833334,0.03464084201388889,0.1968044704861111
32,00:00:01.333,0.021764684606481483,0.012559678819444444,0.006483289930555556,0.04625108506944445
33,00:00:01.375,0.052417896412037035,0.03662109375,0.034857855902777776,0.08577473958333333
34,00:00:01.417,0.008445457175925925,0.00146484375,0.004014756944444444,0.019856770833333332
35,00:00:01.458,0.02760597511574074,0.017578125,0.010986328125,0.054253472222222224
36,00:00:01.500,0.024640118634259262,0.009874131944444444,0.016140407986111112,0.047905815972222224
37,00:00:01.542,0.006817853009259259,0.00244140625,0.003933376736111111,0.014078776041666666
38,00:00:01.583,0.0014467592592592594,0.0,0.0011393229166666667,0.003200954861111111
39,00:00:01.625,0.08408383969907407,0.06846788194444445,0.036214192708333336,0.14756944444444445
40,00:00:01.667,0.014983000578703705,0.014919704861111112,0.002224392361111111,0.027804904513888888
41,00:00:01.708,0.05077220775462963,0.018988715277777776,0.039469401041666664,0.09385850694444445
42,00:00:01.750,0.01221607349537037,0.010823567708333334,0.004801432291666667,0.021023220486111112
43,00:00:01.792,0.04308629918981482,0.025065104166666668,0.035210503472222224,0.06898328993055555
44,00:00:01.833,0.009349681712962963,0.004937065972222222,0.006076388888888889,0.017035590277777776
45,00:00:01.875,0.03276909722222222,0.012532552083333334,0.028591579861111112,0.057183159722222224
46,00:00:01.917,0.01739728009259259,0.005235460069444444,0.024088541666666668,0.022867838541666668
47,00:00:01.958,0.030119719328703703,0.015435112847222222,0.021294487847222224,0.053629557291666664
48,00:00:02.000,0.024206090856481483,0.016248914930555556,0.020643446180555556,0.035725911458333336
49,00:00:02.042,0.04234483506944445,0.016927083333333332,0.046712239583333336,0.06339518229166667
50,00:00:02.083,0.006826895254629629,0.0048828125,0.005615234375,0.009982638888888888
51,00:00:02.125,0.07039388020833333,0.03561740451388889,0.0849880642361111,0.090576171875
52,00:00:02.167,0.08366789641203703,0.055989583333333336,0.07554796006944445,0.11946614583333333
53,00:00:02.208,0.05333116319444445,0.07012261284722222,0.03293185763888889,0.056939019097222224
54,00:00:02.250,0.030436197916666668,0.040201822916666664,0.007215711805555556,0.043891059027777776
55,00:00:02.292,0.013283058449074075,0.017523871527777776,0.003960503472222222,0.018364800347222224
56,00:00:02.333,0.03274197048611111,0.029893663194444444,0.009657118055555556,0.058675130208333336
57,00:00:02.375,0.06181278935185185,0.05807834201388889,0.020345052083333332,0.10701497395833333
58,00:00:02.417,0.01976634837962963,0.029351128472222224,0.007486979166666667,0.0224609375
59,00:00:02.458,0.02567997685185185,0.013346354166666666,0.020914713541666668,0.042778862847222224
60,00:00:02.500,0.12703450520833334,0.12076822916666667,0.04909939236111111,0.2112358940972222
61,00:00:02.542,1.0836950231481481,1.59228515625,0.5236002604166666,1.1351996527777777
62,00:00:02.583,1.067482277199074,1.2913411458333333,0.7099338107638888,1.201171875
63,00:00:02.625,0.4672761140046296,0.2675238715277778,0.5876736111111112,0.546630859375
64,00:00:02.667,0.08469871238425926,0.06865776909722222,0.053629557291666664,0.1318088107638889
65,00:00:02.708,0.08460828993055557,0.05259874131944445,0.0734592013888889,0.12776692708333334
66,00:00:02.750,0.0633228443287037,0.043782552083333336,0.04934353298611111,0.09684244791666667
67,00:00:02.792,0.7607602719907408,0.5683051215277778,0.7908257378472222,0.9231499565972222
68,00:00:02.833,1.1191948784722223,0.7743598090277778,1.5753309461805556,1.0078938802083333
69,00:00:02.875,0.7456325954861112,0.5651041666666666,0.9534505208333334,0.7183430989583334
70,00:00:02.917,0.2066605179398148,0.12779405381944445,0.2214626736111111,0.2707248263888889
71,00:00:02.958,0.24085828993055555,0.15250651041666666,0.2690972222222222,0.3009711371527778
72,00:00:03.000,1.7399269386574074,0.9444715711805556,2.9656575520833335,1.3096516927083333
73,00:00:03.042,0.5039605034722222,0.4625922309027778,0.4734157986111111,0.5758734809027778
74,00:00:03.083,1.2652633101851851,0.8780381944444444,1.9453125,0.9724392361111112
75,00:00:03.125,0.7767379195601851,0.42333984375,1.2781032986111112,0.6287706163194444
76,00:00:03.167,0.08734809027777779,0.054389105902777776,0.10264756944444445,0.1050075954861111
77,00:00:03.208,0.2835015190972222,0.2681206597222222,0.171630859375,0.4107530381944444
78,00:00:03.250,3.501618561921296,1.9415147569444444,0.1260308159722222,8.437310112847221
79,00:00:03.292,0.20238353587962965,0.08740234375,0.16634114583333334,0.3534071180555556
80,00:00:03.333,0.7443214699074074,0.3767903645833333,0.3528374565972222,1.5033365885416667
81,00:00:03.375,0.4107620804398149,0.2262912326388889,0.1413031684027778,0.8646918402777778
82,00:00:03.417,0.10948350694444446,0.059895833333333336,0.08463541666666667,0.18391927083333334
83,00:00:03.458,0.6857548466435185,0.4378526475694444,0.3694118923611111,1.25
