Var1,Var2
9,Text
10,Text
10,Text
10,Text
11,Text
11,Text
11,Text
12,Text
12,Text
12,Text
13,Text
13,Text
13,Text
14,Text
14,Text
14,Text
15,Text
15,Text
15,Text
16,Text
16,Text
16,Text
17,Text
17,Text
17,Text
18,Text
18,Text
18,Text
19,Text
19,Text
19,Text
20,Text
20,Text
20,Text
21,Text
21,Text
21,Text
22,Text
22,Text
22,Text
23,Text
23,Text
23,Text
24,Text
24,Text
24,Text
25,Text
25,Text
25,Text
26,Text
26,Text
26,Text
27,Text
27,Text
27,Text
28,Text
28,Text
28,Text
29,Text
29,Text
29,Text
30,Text
30,Text
30,Text
31,Text
31,Text
31,Text
32,Text
32,Text
32,Text
33,Text
33,Text
33,Text
34,Text
34,Text
34,Text
35,Text
35,Text
35,Text
36,Text
36,Text
36,Text
37,Text
37,Text
37,Text
38,Text
38,Text
38,Text
39,Text
39,Text
39,Text
40,Text
40,Text
40,Text
41,Text
41,Text
41,Text
42,Text
42,Text
42,Text
43,Text
43,Text
43,Text
44,Text
44,Text
44,Text
45,Text
45,Text
45,Text
46,Text
46,Text
46,Text
47,Text
47,Text
47,Text
48,Text
48,Text
48,Text
49,Text
49,Text
49,Text
50,Text
50,Text
50,Text
51,Text
51,Text
51,Text
52,Text
52,Text
52,Text
53,Text
53,Text
53,Text
54,Text
54,Text
54,Text
55,Text
55,Text
55,Text
56,Text
56,Text
56,Text
57,Text
57,Text
57,Text
58,Text
58,Text
58,Text
59,Text
59,Text
59,Text
60,Text
60,Text
60,Text
61,Text
61,Text
61,Text
62,Text
62,Text
62,Text
63,Text
63,Text
63,Text
64,Text
64,Text
64,Text
65,Text
65,Text
65,Text
66,Text
66,Text
66,Text
67,Text
67,Text
67,Text
68,Text
68,Text
68,Text
69,Text
69,Text
69,Text
70,Text
70,Text
70,Text
71,Text
71,Text
71,Text
72,Text
72,Text
72,Text
73,Text
73,Text
73,Text
74,Text
74,Text
74,Text
75,Text
75,Text
75,Text
76,Text
76,Text
76,Text
77,Text
77,Text
77,Text
78,Text
78,Text
78,Text
79,Text
79,Text
79,Text
80,Text
80,Text
80,Text
81,Text
81,Text
81,Text
82,Text
82,Text
82,Text
83,Text
83,Text
83,Text
84,Text
84,Text
84,Text
85,Text
85,Text
85,Text
86,Text
86,Text
86,Text
87,Text
87,Text
87,Text
88,Text
88,Text
88,Text
89,Text
89,Text
89,Text
90,Text
90,Text
90,Text
91,Text
91,Text
91,Text
92,Text
92,Text
92,Text
93,Text
93,Text
93,Text
94,Text
94,Text
94,Text
95,Text
95,Text
95,Text
96,Text
96,Text
96,Text
97,Text
97,Text
97,Text
98,Text
98,Text
98,Text
99,Text
99,Text
99,Text
100,Text
100,Text
100,Text
101,Text
101,Text
101,Text
102,Text
102,Text
102,Text
103,Text
103,Text
103,Text
104,Text
104,Text
104,Text
