a1,a2
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
1,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
2,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
3,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
4,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
5,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
6,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
7,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
8,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
9,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
10,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
11,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
12,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
13,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
14,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
15,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
16,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
17,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
18,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
19,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
20,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
21,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
22,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
23,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
24,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
25,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
26,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
27,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
28,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
29,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
30,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
31,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
32,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
33,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
34,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
35,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
36,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
37,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
38,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
39,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
40,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
41,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
42,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
43,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
44,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
45,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
46,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
47,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
48,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
49,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
50,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
51,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
52,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
53,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
54,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
55,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
56,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
57,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
58,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
59,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
60,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
61,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
62,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
63,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
64,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
65,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
66,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
67,Text
68,Text
68,Text
68,Text
68,Text
68,Text
68,Text
68,Text
68,Text
68,Text
68,Text
68,Text
68,Text
68,Text
