frame,y1,x1,y2,x2,object,confidence
160,552,246,640,287,car,0.830076
160,419,235,435,280,person,0.702295
160,311,239,344,310,person,0.469008
160,386,234,405,277,person,0.419185
160,366,238,387,270,person,0.402425
160,182,253,217,285,bicycle,0.388245
160,495,238,509,270,person,0.344197
170,523,243,604,285,car,0.71395
170,591,248,628,346,person,0.638734
170,414,233,431,277,person,0.554695
170,285,234,308,290,person,0.522881
170,368,231,400,283,person,0.480896
170,340,238,370,271,person,0.453304
170,590,206,640,271,bus,0.383913
170,315,235,338,273,person,0.355725
180,566,243,610,346,person,0.670456
180,49,233,82,313,person,0.608929
180,414,233,431,275,person,0.564082
180,501,243,614,290,car,0.530895
180,260,235,287,289,person,0.505466
180,581,205,640,269,bus,0.49628
180,386,231,402,277,person,0.492141
180,561,244,600,346,person,0.479253
180,289,231,309,286,person,0.472559
180,272,234,294,289,person,0.389935
180,367,228,387,284,person,0.364343
180,0,229,48,320,person,0.358806
180,351,235,369,281,person,0.35246
180,334,240,356,271,person,0.343136
180,575,262,607,300,backpack,0.340234
180,314,237,336,269,person,0.325009
180,22,233,61,301,person,0.322632
180,471,237,486,267,person,0.309923
190,571,204,640,270,bus,0.797918
190,526,246,570,346,person,0.76336
190,16,230,53,321,person,0.7485
190,45,236,97,317,person,0.709252
190,366,229,385,282,person,0.681063
190,477,242,586,290,car,0.617607
190,469,236,481,266,person,0.552828
190,386,230,402,269,person,0.471474
190,267,229,287,284,person,0.46701
190,413,230,429,273,person,0.443449
190,545,266,565,298,backpack,0.331538
190,251,233,269,284,person,0.324706
190,46,245,87,313,backpack,0.271611
200,32,226,67,317,person,0.827256
200,63,232,102,312,person,0.822589
200,495,249,534,343,person,0.760814
200,246,229,265,281,person,0.660871
200,461,242,570,291,car,0.652911
200,367,226,386,282,person,0.633271
200,564,203,639,268,bus,0.576517
200,413,230,429,272,person,0.568972
200,585,256,625,343,person,0.527451
200,386,229,402,268,person,0.51206
200,505,265,528,297,backpack,0.490827
200,232,233,247,281,person,0.414596
200,462,235,476,261,person,0.375193
200,331,232,349,281,person,0.360944
200,217,234,240,281,person,0.33796
210,3,10,637,346,car,0.856772
210,139,137,252,242,person,0.724103
210,344,100,470,226,person,0.476822
210,265,112,344,145,car,0.448392
220,4,9,636,346,car,0.856032
220,162,138,255,242,person,0.723729
220,339,100,469,226,person,0.530428
220,263,111,343,145,car,0.481101
230,4,9,637,346,car,0.852039
230,360,98,480,224,person,0.687668
230,131,137,253,242,person,0.635739
230,263,112,343,145,car,0.462005
240,326,64,467,263,person,0.87913
240,151,118,276,246,person,0.853233
240,2,0,635,346,car,0.820723
250,328,65,461,263,person,0.901058
250,158,117,279,247,person,0.866522
250,0,0,640,346,car,0.829384
260,328,65,460,262,person,0.899853
260,156,115,277,247,person,0.858217
260,0,1,640,346,car,0.834444
260,262,85,346,247,person,0.428343
260,220,84,266,106,car,0.335242
270,439,116,536,306,person,0.830771
270,285,129,348,249,person,0.696427
270,493,92,544,297,person,0.555724
270,233,128,581,250,car,0.493119
270,443,159,481,233,backpack,0.271781
280,233,129,514,250,car,0.912373
280,508,105,584,313,person,0.753021
280,293,128,351,249,person,0.703056
280,295,145,320,189,backpack,0.427953
280,605,110,632,162,person,0.408037
280,499,152,530,224,backpack,0.359523
280,556,90,593,277,person,0.353183
290,229,128,577,251,car,0.733311
290,568,103,640,322,person,0.707981
290,299,129,341,255,person,0.454453
290,298,152,322,194,backpack,0.33793
290,562,102,611,272,person,0.228148
300,131,15,376,345,person,0.876788
300,9,12,632,346,car,0.542146
300,175,5,211,111,person,0.455351
300,347,2,384,95,person,0.402264
300,409,15,439,102,person,0.379182
310,128,11,372,345,person,0.868787
310,7,8,635,345,car,0.536233
310,173,3,208,107,person,0.404587
310,344,1,386,96,person,0.398707
310,408,15,438,102,person,0.305488
310,0,9,221,340,car,0.168147
320,122,10,368,345,person,0.869261
320,4,5,638,345,car,0.446407
320,0,19,194,340,person,0.357429
330,115,140,319,343,person,0.898817
330,303,125,429,344,person,0.861533
330,367,194,483,344,person,0.811244
330,82,48,188,334,person,0.778927
330,553,60,639,130,bicycle,0.750504
330,452,120,552,341,person,0.730731
330,259,17,291,114,person,0.676311
330,0,70,64,299,person,0.600297
330,564,7,637,123,person,0.599675
330,268,36,292,73,backpack,0.583108
330,419,2,463,125,person,0.564309
330,518,37,561,165,person,0.546788
330,351,4,543,120,car,0.487797
330,524,178,587,290,backpack,0.479708
330,94,100,178,212,backpack,0.426407
330,28,0,61,64,person,0.377961
330,336,163,403,226,backpack,0.364837
330,519,66,551,114,backpack,0.358708
330,481,17,528,122,person,0.327425
330,114,223,197,344,handbag,0.307509
330,352,19,381,118,person,0.29433
330,113,225,195,344,backpack,0.235808
340,116,103,361,342,person,0.874732
340,364,203,484,345,person,0.839825
340,74,54,184,340,person,0.808069
340,302,130,411,313,person,0.768579
340,446,130,550,325,person,0.766785
340,18,14,84,143,person,0.742836
340,540,30,613,176,person,0.673756
340,505,187,584,299,backpack,0.63065
340,410,29,466,157,person,0.621211
340,340,17,628,120,car,0.609545
340,511,20,565,171,person,0.588008
340,294,31,329,124,person,0.561703
340,412,56,437,101,backpack,0.52739
340,0,80,63,297,person,0.508072
340,324,71,410,137,bicycle,0.458098
340,219,40,267,112,person,0.455688
340,90,107,171,198,backpack,0.441002
340,557,72,596,122,backpack,0.414763
340,119,208,209,344,backpack,0.343593
340,367,261,399,344,handbag,0.315026
340,149,44,185,117,person,0.293907
340,56,5,82,42,backpack,0.26791
350,147,86,448,343,person,0.808177
350,547,40,603,169,person,0.807273
350,57,76,164,345,person,0.799769
350,437,146,574,338,person,0.760519
350,589,55,640,188,person,0.754763
350,332,25,572,130,car,0.718248
350,15,4,50,96,person,0.67172
350,502,205,583,328,backpack,0.634727
350,183,60,207,101,backpack,0.628874
350,604,79,639,131,backpack,0.599522
350,0,95,55,297,person,0.581557
350,437,30,508,167,person,0.512669
350,227,221,444,344,backpack,0.443047
350,66,121,155,255,backpack,0.405987
350,281,21,322,93,person,0.391484
350,252,46,286,128,person,0.328063
350,250,68,316,183,person,0.3275
350,142,59,197,162,person,0.28388
350,422,56,522,168,bicycle,0.191005
360,156,34,491,340,person,0.945968
360,46,88,155,341,person,0.887355
360,400,48,596,149,car,0.774477
360,501,216,585,341,backpack,0.745084
360,473,158,552,340,person,0.735556
360,144,73,168,117,backpack,0.680806
360,590,48,639,187,person,0.624257
360,20,21,53,114,person,0.600123
360,173,119,279,179,bicycle,0.563035
360,115,54,170,190,person,0.515699
360,197,33,243,171,person,0.484449
360,0,113,51,316,person,0.440692
360,60,138,139,220,backpack,0.423585
360,448,57,474,82,person,0.370659
360,433,53,569,152,person,0.36641
360,419,101,470,170,bicycle,0.317882
360,194,59,251,175,person,0.258775
370,98,0,450,342,person,0.749858
370,357,56,382,115,person,0.402395
370,8,1,604,343,car,0.379763
370,65,84,107,101,car,0.285501
380,109,0,454,342,person,0.771286
380,358,58,379,116,person,0.531827
380,65,85,107,102,car,0.462496
380,42,3,554,344,car,0.420227
390,98,0,462,342,person,0.898345
390,62,88,103,105,car,0.492031
390,0,1,618,345,car,0.460687
390,350,64,375,120,person,0.445478
400,90,0,457,342,person,0.882775
