Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.042,0.006673649156730046,0.0029407025459233,0.0047534643893006765,0.012326780534966162
2,00:00:00.083,0.0028735632183908046,0.0007251047373509507,0.0010070899129874316,0.006888495004834031
3,00:00:00.125,0.0,0.0,0.0,0.0
4,00:00:00.167,0.00013427865506499088,0.0,0.0003222687721559781,8.056719303899453e-05
5,00:00:00.209,0.0009399505854549361,0.0004028359651949726,0.0018933290364163712,0.0005236867547534644
6,00:00:00.250,0.008942958427328394,0.0029809861424427973,0.003222687721559781,0.0206252014179826
7,00:00:00.292,0.07218820496293908,0.015912020625201417,0.01736223009990332,0.18329036416371253
8,00:00:00.334,0.004834031582339671,0.0017321946503383822,0.002175314212052852,0.010594585884627779
9,00:00:00.375,0.0036792351487807498,0.002175314212052852,0.0022155978085723494,0.006646793425717048
10,00:00:00.417,0.001678483188312386,0.0,0.0,0.005035449564937158
11,00:00:00.459,0.001678483188312386,0.0,0.0,0.005035449564937158
12,00:00:00.500,0.001678483188312386,0.0,0.0,0.005035449564937158
13,00:00:00.542,0.004095498979482221,0.0006042539477924589,0.0004028359651949726,0.011279407025459234
14,00:00:00.584,0.005572564185197121,0.0006042539477924589,0.001571060264260393,0.014542378343538512
15,00:00:00.626,0.025096680631646797,0.0053577183370931356,0.021310022558814052,0.0486223009990332
16,00:00:00.667,0.0,0.0,0.0,0.0
17,00:00:00.709,0.0,0.0,0.0,0.0
18,00:00:00.751,0.0,0.0,0.0,0.0
19,00:00:00.792,0.0,0.0,0.0,0.0
20,00:00:00.834,0.0,0.0,0.0,0.0
21,00:00:00.876,0.0,0.0,0.0,0.0
22,00:00:00.918,0.0,0.0,0.0,0.0
23,00:00:00.959,0.0,0.0,0.0,0.0
24,00:00:01.001,0.0662262326780535,0.032428295198195296,0.042297776345472125,0.12395262649049307
25,00:00:01.043,0.0009399505854549361,0.0004028359651949726,0.0012085078955849178,0.0012085078955849178
26,00:00:01.084,0.0,0.0,0.0,0.0
27,00:00:01.126,0.0,0.0,0.0,0.0
28,00:00:01.168,0.0,0.0,0.0,0.0
29,00:00:01.210,0.00030884090664947897,4.0283596519497264e-05,0.00044311956171446987,0.00044311956171446987
30,00:00:01.251,0.014461811150499515,0.008016435707379956,0.011400257815017726,0.02396873992910087
31,00:00:01.293,0.002027607691481362,0.00016113438607798906,0.0009668063164679343,0.004954882371898163
32,00:00:01.335,0.0,0.0,0.0,0.0
33,00:00:01.376,0.0,0.0,0.0,0.0
34,00:00:01.418,0.0,0.0,0.0,0.0
35,00:00:01.460,0.0,0.0,0.0,0.0
36,00:00:01.501,0.0,0.0,0.0,0.0
37,00:00:01.543,0.0025512944462348264,0.0009668063164679343,0.0017724782468578795,0.004914598775378666
38,00:00:01.585,0.0,0.0,0.0,0.0
39,00:00:01.627,0.0,0.0,0.0,0.0
40,00:00:01.668,0.0,0.0,0.0,0.0
41,00:00:01.710,0.0,0.0,0.0,0.0
42,00:00:01.752,0.0,0.0,0.0,0.0
43,00:00:01.793,0.0,0.0,0.0,0.0
44,00:00:01.835,0.0,0.0,0.0,0.0
45,00:00:01.877,0.002014179825974863,0.0010070899129874316,0.0017724782468578795,0.003262971318079278
46,00:00:01.919,0.0,0.0,0.0,0.0
47,00:00:01.960,0.0,0.0,0.0,0.0
48,00:00:02.002,0.0,0.0,0.0,0.0
49,00:00:02.044,0.0,0.0,0.0,0.0
50,00:00:02.085,0.0,0.0,0.0,0.0
51,00:00:02.127,0.0,0.0,0.0,0.0
52,00:00:02.169,0.0,0.0,0.0,0.0
53,00:00:02.211,0.0,0.0,0.0,0.0
54,00:00:02.252,0.0,0.0,0.0,0.0
55,00:00:02.294,0.0,0.0,0.0,0.0
56,00:00:02.336,0.0,0.0,0.0,0.0
57,00:00:02.377,0.0,0.0,0.0,0.0
58,00:00:02.419,0.0,0.0,0.0,0.0
59,00:00:02.461,0.0,0.0,0.0,0.0
60,00:00:02.502,1.0877242453539584,0.6092893973573961,0.5692072188204963,2.084676119883983
61,00:00:02.544,0.005841121495327103,0.0017321946503383822,0.003746374476313245,0.012044795359329681
62,00:00:02.586,0.0,0.0,0.0,0.0
63,00:00:02.628,0.0,0.0,0.0,0.0
64,00:00:02.669,0.0,0.0,0.0,0.0
65,00:00:02.711,0.0,0.0,0.0,0.0
66,00:00:02.753,0.0,0.0,0.0,0.0
67,00:00:02.794,0.0,0.0,0.0,0.0
68,00:00:02.836,0.0,0.0,0.0,0.0
69,00:00:02.878,0.0,0.0,0.0,0.0
70,00:00:02.920,0.0,0.0,0.0,0.0
71,00:00:02.961,0.0,0.0,0.0,0.0
72,00:00:03.003,0.0,0.0,0.0,0.0
73,00:00:03.045,0.0,0.0,0.0,0.0
74,00:00:03.086,0.0,0.0,0.0,0.0
75,00:00:03.128,0.00647223117413256,0.0010070899129874316,0.007734450531743474,0.010675153077666774
76,00:00:03.170,0.001074229240519927,0.00036255236867547533,0.0005639703512729617,0.002296165001611344
77,00:00:03.212,0.0,0.0,0.0,0.0
78,00:00:03.253,0.0,0.0,0.0,0.0
79,00:00:03.295,0.0,0.0,0.0,0.0
80,00:00:03.337,0.0,0.0,0.0,0.0
81,00:00:03.378,0.0,0.0,0.0,0.0
82,00:00:03.420,0.0,0.0,0.0,0.0
83,00:00:03.462,0.0,0.0,0.0,0.0
84,00:00:03.503,0.0,0.0,0.0,0.0
85,00:00:03.545,0.0020410355569878613,0.000765388333870448,0.002779568159845311,0.002578150177247825
