Timecode List:,00:00:07.250,00:00:10.792,00:00:16.000,00:00:21.000,00:00:25.208,00:00:34.583,00:00:35.375,00:00:36.708,00:00:39.875,00:00:43.167,00:00:46.667,00:00:49.000,00:00:50.917,00:00:57.958,00:01:00.000,00:01:03.958,00:01:05.417,00:01:06.500,00:01:08.417,00:01:10.625,00:01:15.292,00:01:16.958,00:01:17.875,00:01:19.375,00:01:21.667,00:01:26.167,00:01:28.792,00:01:31.333,00:01:36.917,00:01:41.375,00:01:44.417,00:01:45.667,00:01:46.458,00:01:47.958,00:01:48.625,00:01:50.833,00:01:53.833,00:01:56.125,00:01:57.125,00:01:59.375,00:02:02.083,00:02:05.458,00:02:11.750,00:02:16.583,00:02:20.167,00:02:21.875,00:02:26.167,00:02:30.875,00:02:34.542,00:02:37.500,00:02:40.625,00:02:42.458,00:02:45.250,00:02:51.917
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,174,00:00:07.250,7.250,174,00:00:07.250,7.250
2,174,00:00:07.250,7.250,259,00:00:10.792,10.792,85,00:00:03.542,3.542
3,259,00:00:10.792,10.792,384,00:00:16.000,16.000,125,00:00:05.208,5.208
4,384,00:00:16.000,16.000,504,00:00:21.000,21.000,120,00:00:05.000,5.000
5,504,00:00:21.000,21.000,605,00:00:25.208,25.208,101,00:00:04.208,4.208
6,605,00:00:25.208,25.208,830,00:00:34.583,34.583,225,00:00:09.375,9.375
7,830,00:00:34.583,34.583,849,00:00:35.375,35.375,19,00:00:00.792,0.792
8,849,00:00:35.375,35.375,881,00:00:36.708,36.708,32,00:00:01.333,1.333
9,881,00:00:36.708,36.708,957,00:00:39.875,39.875,76,00:00:03.167,3.167
10,957,00:00:39.875,39.875,1036,00:00:43.167,43.167,79,00:00:03.292,3.292
11,1036,00:00:43.167,43.167,1120,00:00:46.667,46.667,84,00:00:03.500,3.500
12,1120,00:00:46.667,46.667,1176,00:00:49.000,49.000,56,00:00:02.333,2.333
13,1176,00:00:49.000,49.000,1222,00:00:50.917,50.917,46,00:00:01.917,1.917
14,1222,00:00:50.917,50.917,1391,00:00:57.958,57.958,169,00:00:07.042,7.042
15,1391,00:00:57.958,57.958,1440,00:01:00.000,60.000,49,00:00:02.042,2.042
16,1440,00:01:00.000,60.000,1535,00:01:03.958,63.958,95,00:00:03.958,3.958
17,1535,00:01:03.958,63.958,1570,00:01:05.417,65.417,35,00:00:01.458,1.458
18,1570,00:01:05.417,65.417,1596,00:01:06.500,66.500,26,00:00:01.083,1.083
19,1596,00:01:06.500,66.500,1642,00:01:08.417,68.417,46,00:00:01.917,1.917
20,1642,00:01:08.417,68.417,1695,00:01:10.625,70.625,53,00:00:02.208,2.208
21,1695,00:01:10.625,70.625,1807,00:01:15.292,75.292,112,00:00:04.667,4.667
22,1807,00:01:15.292,75.292,1847,00:01:16.958,76.958,40,00:00:01.667,1.667
